Kraken Experian Tier,Kraken Experian Tier Class,Kraken Experian Mosaic Household,Kraken Experian First Lead Sub Group,Kraken Experian First Lead Group,Kraken Experian Number of Children,Kraken Experian Consumer View Profitability Score,Kraken Experian Direct Mail Responder,Kraken Experian Dwelling Type,Kraken Experian Estimated Household Income,Kraken Experian Estimated Current Home Value,Kraken Experian Gender Code,Kraken Experian Individual Education,Kraken Experian Length of Residence,Kraken Experian Marital Status,Kraken Experian Occupation Group,Kraken Experian State Region,Kraken Experian Membership Tcv,Kraken Experian Membership Level,Kraken Experian Membership Length Days,Kraken Experian Product Tcv,Kraken Experian Count
1,A,Everyday Moderates, -,Media Buy,No Children,4,M - MULTI BUYER,S - Single Family,$75000-$99999,"$192,711 ",Male,Some College -Extremely Likely,12 Years,Married - Extremely Likely,Mgmt/Business/Financial Oper-K,TX,"2,090",Elite,"1,945",7.95,1
1,D,U00, -,Media Buy,No Children,0,U - UNKNOWN,S - Single Family,Unknown,,Male,0,New,Unknown Status - Indiv not PDM,UNKNOWN,OH,"1,563.20",Elite,"1,498",0,1
1,C,Stockcars and State Parks, -,Media Buy,1 = 1 Child,5,U - UNKNOWN,S - Single Family,$75000-$99999,"$142,912 ",Male,HS Diploma - Likely,24 Years,Married - Likely,Blue Collar-I,MS,"1,628.84",Elite,"1,572",20,1
1,G,Town Elders, -,Media Buy,No Children,4,M - MULTI BUYER,S - Single Family,$15000-$24999,"$80,913 ",Male,Some College -Extremely Likely,22 Years,Married - Extremely Likely,Retired-I,TX,"1,049.60",Elite,923,7.95,1
1,B,American Royalty, -,Media Buy,No Children,1,M - MULTI BUYER,S - Single Family,$250000+,"$747,508 ",,Bach Degree - Likely,10 Years,Married - Extremely Likely,Mgmt/Business/Financial Oper-I,CO,"1,804.14",Elite,"2,488",0,1
1,C,Reaping Rewards, -,Media Buy,No Children,1,M - MULTI BUYER,A - Multi-Family & Condominium,$50000-$74999,"$355,773 ",Male,HS Diploma - Extremely Likely,25 Years,Married - Extremely Likely,Other-K,MA,"1,670",Elite,"1,507",74,1
1,B,Aging of Aquarius, -,Media Buy,No Children,1,M - MULTI BUYER,S - Single Family,$100000-$124999,"$272,000 ",Male,Grad Degree - Extremely Likely,26 Years,Married - Extremely Likely,Profess:Legal/Educ/Health-K,AL,"1,707.17",Elite,"2,045",0,1
1,F,Stockcars and State Parks, -,Media Buy,2 = 2 Chldren,3,U - UNKNOWN,S - Single Family,$75000-$99999,"$220,203 ",Male,Some College - Likely,6 Years,Married - Extremely Likely,Mgmt/Business/Financial Oper-I,MI,"1,208",Elite,"1,139",0,1
9,H,Blue Collar Comfort, -,Media Buy,1 = 1 Child,2,M - MULTI BUYER,S - Single Family,$75000-$99999,"$191,542 ",Male,HS Diploma - Likely,29 Years,Unknown Status - Indiv not PDM,Retired-I,MN,104,Silver,243,0,1
1,B,Unspoiled Splendor, -,Media Buy,No Children,2,M - MULTI BUYER,S - Single Family,$50000-$74999,"$94,799 ",Male,Bach Degree - Extremely Likely,11 Years,Married - Extremely Likely,Profess:Legal/Educ/Health-K,SC,"1,753.32",Elite,"2,372",0,1
